,index,book_title,author_id,Year released,Rating,ratings
0,300,"Siege and Storm (The Shadow and Bone Trilogy, #2)",78.0,2013,3.85,486943.0
1,301,Wait for It (Kindle Edition),35.0,2016,4.31,69159.0
2,302,"Undercover Bromance (Bromance Book Club, #2)",43.0,2020,3.89,37661.0
3,303,The Cheat Sheet (Kindle Edition),157.0,2021,3.76,88916.0
4,304,"Something Borrowed (Darcy & Rachel, #1)",300.0,2004,3.87,548478.0
5,305,"Lick (Stage Dive, #1)",159.0,2013,4.08,84934.0
6,306,We Were Liars (Kindle Edition),160.0,2014,3.73,919633.0
7,307,"Just Like Heaven (Smythe-Smith Quartet, #1)",20.0,2011,3.95,47800.0
8,308,I'll Give You the Sun (Hardcover),161.0,2014,4.15,309331.0
9,309,Just Listen (Hardcover),153.0,2006,4.05,243619.0
10,310,"An Ember in the Ashes (An Ember in the Ashes, #1)",300.0,2015,4.26,255988.0
11,311,"It Had to Be You (Chicago Stars, #1)",163.0,1994,4.01,64323.0
12,312,"Ice Planet Barbarians (Ice Planet Barbarians, #1)",164.0,2015,3.68,75411.0
13,313,Evvie Drake Starts Over (Hardcover),165.0,2019,3.84,119436.0
14,314,"Love, Rosie (Paperback)",107.0,2004,3.94,122412.0
15,315,"The Marriage Bargain (Marriage to a Billionaire, #1)",166.0,2010,3.8,109486.0
16,316,"A Week to Be Wicked (Spindle Cove, #2)",72.0,2012,4.11,31300.0
17,318,Today Tonight Tomorrow (Hardcover),88.0,2020,4.17,45486.0
18,320,"Bed of Roses (Bride Quartet, #2)",93.0,2009,4.12,60829.0
19,321,"Something About You (FBI/US Attorney, #1)",168.0,2010,3.94,60302.0
20,322,Along for the Ride (Hardcover),153.0,2009,4.04,200653.0
21,323,"Because of Miss Bridgerton (Rokesbys, #1)",300.0,2016,3.94,46317.0
22,325,"The Right Swipe (Modern Love, #1)",170.0,2019,3.65,21234.0
23,326,"The Bride (Lairds' Fiancées, #1)",171.0,1989,4.23,62543.0
24,327,"The DUFF: Designated Ugly Fat Friend (Hamilton High, #1)",172.0,2010,3.81,190279.0
25,328,"We'll Always Have Summer (Summer, #3)",19.0,2011,3.94,224027.0
26,329,"Angels' Blood (Guild Hunter, #1)",151.0,2009,4.07,87377.0
27,330,"We'll Always Have Summer (Summer, #3)",19.0,2011,3.94,224027.0
28,331,"The Shadows Between Us (The Shadows Between Us, #1)",173.0,2020,3.89,128699.0
29,333,"Lord of Scoundrels (Scoundrels, #3)",174.0,1995,4.09,34076.0
30,334,"Geekerella (Once Upon a Con, #1)",175.0,2017,3.93,59104.0
31,335,"Beyond the Highland Mist (Highlander, #1)",156.0,1999,3.96,69756.0
32,336,"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",176.0,2009,4.05,35753.0
33,338,Heartless (Hardcover),49.0,2016,4.08,151923.0
34,339,"Ignite Me (Shatter Me, #3)",58.0,2014,4.45,262482.0
35,341,Better Than the Movies (Hardcover),178.0,2021,4.27,56775.0
36,342,"Thoughtless (Thoughtless, #1)",179.0,2012,4.09,138379.0
37,343,"Lover Enshrined (Black Dagger Brotherhood, #6)",42.0,2008,4.11,113315.0
38,344,"Rhapsodic (The Bargainer, #1)",180.0,2016,3.98,88341.0
39,345,"Him (Him, #1)",181.0,2015,4.29,47672.0
